Emotions,Paths
neutral,./datasets/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,./datasets/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,./datasets/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,./datasets/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,./datasets/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
